gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat,direction,pmid,notes,category,cofactors,pathway,FDR
ALOX5,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.326390491349158,6.352122813919298,-1.02573232257014,6.781000773820542e-07,-6.510439344300648,down,,,Inflammation/NF-κB,"Iron (non-heme), Calcium","5-LOX, leukotriene synthesis",0.0
AOC1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.427942809830699,5.252532689592329,-0.8245898797616302,7.215077522637594e-10,-9.334310051481818,down,,,Histamine metabolism,"Copper, Vitamin B6 (PLP)",Histamine degradation (DAO),0.0
CAT,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,8.01127803437987,8.79051999105998,-0.7792419566801101,5.475829572943334e-07,-6.14575823179186,down,,,Antioxidant defense,Iron (heme),Catalase,0.0
CBS,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.140573823473189,5.15599928309992,-1.015425459626731,1.119185512342731e-21,-41.67615818892055,down,,,Methylation,"Vitamin B6 (PLP), Iron (heme)",Homocysteine → cystathionine,0.0
CCL11,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.329296369200466,5.227964627391212,-0.8986682581907459,9.927957668130586e-11,-10.484620533789029,down,,,Eosinophil,None,Eotaxin-1 (eosinophil chemotaxis),0.0
CCR3,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.246593921267399,5.367205475429948,-1.120611554162549,1.9612149552166907e-17,-13.66929707954981,down,,,Eosinophil,None,Eotaxin receptor,0.0
CMA1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.105903610337299,5.18005684888911,-1.074153238551811,2.3853222637450146e-27,-63.54868260794651,down,,,Mast cell/allergy,Zinc (structural),Chymase 1,0.0
CYP24A1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.1663091764697455,6.347747719308096,-1.1814385428383503,1.729212239320023e-08,-7.394568565497389,down,,,Vitamin D,"Iron (heme), NADPH","1,25(OH)₂D inactivation",0.0
CYP27B1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.471867482289786,5.593055003985242,-1.1211875216954557,5.533448662381967e-15,-14.008712808108221,down,,,Vitamin D,"Iron (heme), NADPH","25(OH)D → 1,25(OH)₂D activation",0.0
CYP2R1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,6.349812206079955,6.8507985841220735,-0.5009863780421187,1.6005538212935164e-05,-5.054414757440793,down,,,Vitamin D,"Iron (heme), NADPH",Vitamin D → 25(OH)D hydroxylation,0.0
EPX,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.105903610337299,5.15599928309992,-1.0500956727626214,0.0,-2708995625566431.0,down,,,Eosinophil,Iron (heme),Eosinophil peroxidase,0.0
FCER1A,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.005592913662716,6.745327746674559,-1.739734833011843,5.541963387883721e-16,-13.648873633855414,down,,,Mast cell/allergy,None,High-affinity IgE receptor alpha,1.0660035501017758e-28
GATA3,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,6.178711871759347,7.276761139090108,-1.0980492673307607,0.00016413294907398256,-4.382977569471585,down,,,Alarmin/ILC2,Zinc (zinc finger),Th2/ILC2 master TF,1.0660035501017758e-28
GCLC,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,8.390315890459433,8.924316607142574,-0.5340007166831402,0.04802248871081736,-2.081605042538524,down,,,Antioxidant defense,"Cysteine, Glutamate",Glutamate-cysteine ligase catalytic,1.0660035501017758e-28
GCLM,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,8.935303372494023,9.347850511749789,-0.412547139255766,0.0030266296835220704,-3.200656348400035,down,,,Antioxidant defense,None,Glutamate-cysteine ligase modifier,1.0660035501017758e-28
GPX1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,9.767508993797184,8.6869981107043,1.0805108830928845,9.881525478067777e-14,11.23231391297284,up,,,Antioxidant defense,Selenium (selenocysteine),Glutathione peroxidase 1,1.0660035501017758e-28
GPX4,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,9.109630898818795,8.857303074609499,0.25232782420929567,0.017106651659657742,2.4958138871480755,unchanged,,,Antioxidant defense,Selenium (selenocysteine),Phospholipid glutathione peroxidase,1.0660035501017758e-28
GSR,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,9.792729102419427,10.338821260547563,-0.5460921581281362,0.019786693627344247,-2.4932534409555602,down,,,Antioxidant defense,FAD (Vitamin B2),Glutathione reductase,1.0660035501017758e-28
HAAO,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.69623235409207,5.299959660713902,-0.603727306621832,4.680697030669172e-05,-4.888810096409142,down,,,Tryptophan metabolism,Iron (non-heme),3-HAA → quinolinic acid,1.0660035501017758e-28
HDC,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.558034620264926,5.463105754930138,-0.9050711346652118,1.94183990729122e-08,-7.5309597078050325,down,,,Histamine metabolism,Vitamin B6 (PLP),Histidine → Histamine,1.0660035501017758e-28
HNMT,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,7.783604865631722,8.414840555650178,-0.6312356900184559,3.973596189087429e-06,-5.54889488911066,down,,,Histamine metabolism,SAM (methyl donor),Histamine N-methylation,1.0660035501017758e-28
